Tracker ID,Name,Category,Risk Level,Description,Domains,Pattern Count,GDPR Relevant,CCPA Relevant,Data Types,Evasion Techniques,First Seen
google_analytics,Google Analytics,analytics,medium,Google's web analytics service,google-analytics.com;googletagmanager.com;googlesyndication.com,10,True,True,page_views;user_behavior;demographics;interests,server_side_proxy;custom_domain,2005-11-14
google_ads,Google Ads / DoubleClick,advertising,high,Google's advertising and remarketing platform,doubleclick.net;googleadservices.com;googlesyndication.com,7,True,True,ad_targeting;conversion_tracking;remarketing;audience_segmentation,first_party_data;cookieless_tracking,2007-04-13
facebook_pixel,Facebook Pixel,social_advertising,high,Facebook's conversion tracking and advertising pixel,facebook.com;connect.facebook.net;facebook.net,7,True,True,conversion_tracking;custom_audiences;lookalike_audiences;cross_device_tracking,conversions_api;server_side_events,2013-10-01
adobe_analytics,Adobe Analytics,analytics,medium,Adobe's enterprise analytics platform,omtrdc.net;demdex.net;everesttech.net;2o7.net,8,True,True,user_analytics;attribution;audience_management;real_time_data,first_party_cookies;device_cooperative,1996-11-01
twitter_ads,Twitter Ads,social_advertising,high,Twitter's advertising and conversion tracking,analytics.twitter.com;ads-twitter.com;t.co,4,True,True,conversion_tracking;audience_insights;engagement_metrics,mobile_app_events,2013-04-01
linkedin_insight,LinkedIn Insight Tag,social_advertising,medium,LinkedIn's conversion tracking for B2B advertising,snap.licdn.com;linkedin.com,3,True,True,b2b_targeting;professional_demographics;conversion_tracking,first_party_data_matching,2016-05-01
pinterest_tag,Pinterest Tag,social_advertising,medium,Pinterest's conversion tracking pixel,ct.pinterest.com;pinterest.com,3,True,True,shopping_behavior;interest_targeting;conversion_tracking,enhanced_match,2016-02-01
snapchat_pixel,Snapchat Pixel,social_advertising,medium,Snapchat's advertising pixel for mobile-first audience,tr.snapchat.com;sc-static.net,3,True,True,mobile_behavior;demographic_targeting;app_events,snap_pixel_advanced_matching,2016-10-01
tiktok_pixel,TikTok Pixel,social_advertising,high,TikTok's advertising pixel for Gen Z targeting,analytics.tiktok.com;tiktok.com,4,True,True,video_engagement;mobile_behavior;trend_analytics,events_api,2019-03-01
mixpanel,Mixpanel,analytics,medium,Product analytics and user behavior tracking,api.mixpanel.com;cdn.mxpnl.com,5,True,True,event_tracking;user_journeys;funnel_analysis;cohort_analysis,identity_resolution,2009-04-01
amplitude,Amplitude,analytics,medium,Product intelligence and behavioral analytics,api.amplitude.com;cdn.amplitude.com,4,True,True,user_behavior;retention_analysis;behavioral_cohorts,cross_platform_identification,2012-01-01
segment,Segment,analytics,medium,Customer data platform and analytics infrastructure,api.segment.io;cdn.segment.com,6,True,True,unified_customer_profiles;event_streaming;audience_management,server_side_libraries,2011-10-01
hotjar,Hotjar,user_experience,high,"Heatmaps, session recordings, and user feedback",static.hotjar.com;insights.hotjar.com;vars.hotjar.com,4,True,True,session_recordings;heatmaps;form_analytics;feedback,ip_anonymization,2014-11-01
fullstory,FullStory,user_experience,high,Digital experience analytics with session replay,fullstory.com;edge.fullstory.com,3,True,True,session_recordings;user_interactions;error_tracking,privacy_controls,2014-01-01
crazyegg,Crazy Egg,user_experience,medium,Heatmap and A/B testing platform,crazyegg.com;dnn506yrbagrg.cloudfront.net,3,True,True,click_tracking;heatmaps;scroll_maps,cookieless_tracking,2006-01-01
optimizely,Optimizely,optimization,medium,A/B testing and experimentation platform,cdn.optimizely.com;logx.optimizely.com;optimizely.com,4,True,True,experiment_data;conversion_tracking;user_segmentation,edge_side_experiments,2010-01-01
hubspot,HubSpot,marketing_automation,medium,Inbound marketing and CRM platform,js.hs-scripts.com;forms.hubspot.com;hubspot.com,4,True,True,lead_tracking;email_engagement;form_submissions,progressive_profiling,2006-06-01
newrelic,New Relic,performance,low,Application performance monitoring,js-agent.newrelic.com;bam.nr-data.net,3,False,False,performance_metrics;error_tracking;user_timing,custom_attributes,2008-01-01
canvas_fingerprinting,Canvas Fingerprinting,privacy_invasion,critical,Browser fingerprinting via canvas element,,4,True,True,device_fingerprint;browser_fingerprint,noise_injection;permission_prompts,2012-01-01
webrtc_leak,WebRTC IP Leak,privacy_invasion,critical,IP address detection via WebRTC STUN servers,,3,True,True,real_ip_address;network_information,webrtc_blocking,2013-01-01
criteo,Criteo,advertising,high,Personalized retargeting platform,cas.criteo.com;static.criteo.net;dis.criteo.com,3,True,True,shopping_behavior;product_affinity;purchase_intent,first_party_data,2005-01-01
tiktok_shop_pixel,TikTok Shop Pixel,e_commerce,high,TikTok's e-commerce tracking pixel,shop.tiktok.com;analytics.tiktok.com,3,True,True,purchase_behavior;shopping_cart;product_views,server_side_api,2021-01-01
